ticket_id,customer_id,category,priority,status,created_at,first_response_at,resolved_at,rating,resolution_text,agent_name,channel,is_escalated
TKT-01111,CUST-0073,feature_request,med,IN_PROGRESS,2024-12-06+00:00,12/08/2024 00:00,2024-12-16T00:00:00,2 stars,,Thomas,Phone,yes
TKT-00849,CUST-0086,Integration,medium,Resolved,"May 21, 2025+00:00",N/A,24-May-2025,5.0,Network issue on customer side. Confirmed with traceroute.,William,,0
TKT-00698,CUST-0275,feature_request,crit,open,19-Apr-2024,2024-04-19,21-Apr-2024,4,User error - provided step-by-step guide.,Joseph,chat,true
TKT-00678,CUST-0083,integration,high,resolved,02-18-2025-08:00,,2025-02-18,five,User error - provided step-by-step guide.,William,Phone,Y
TKT-00532,CUST-0129,integration,low,closed,04-25-2025+09:00,04-25-2025,30/04/2025,1/5,Issue resolved by resetting the API key and clearing the cache.,Elizabeth,CHAT,false
TKT-01107,CUST-0157,billing,Low,in_progress,2024-12-22-08:00,,2024/12/23,5 stars,Network issue on customer side. Confirmed with traceroute.,Christopher,Email,0
TKT-01132,CUST-0157,billing,med,IN_PROGRESS,"Feb 29, 2024+03:00",29-Feb-2024,29/02/2024,N/A,<div>Fixed the <a href='#'>configuration</a> issue</div>,,Phone,True
TKT-00797,CUST-0245,technical,critical,open,11/08/2025+00:00,11/08/2025,08-16-2025,4/5,Bug confirmed in v2.3.1. Hotfix deployed.,Patricia,in-app,1
TKT-00750,CUST-0293,feature_request,HIGH,IN_PROGRESS,05/12/2023 00:00,15/05/2023,"May 17, 2023",4/5,Provided documentation link for the integration setup.,,CHAT,Y
TKT-01060,CUST-0238,integration,HIGH,escalated,2025/11/17+03:00,11-17-2025,2025/11/17, 3 ,,Patricia,email,1
TKT-01754,CUST-0413,account,Medium,Resolved,03-08-2023-05:00,03-08-2023,null,4,<p>Resolved via <b>live chat</b> session.</p>,Karen,in-app,true
TKT-00804,CUST-0123,Billing,Medium,Open,03-12-2024Z,03-12-2024,2024-03-14T00:00:00,,Customer was on an outdated plan. Migrated to current tier.,James,Email,true
TKT-00450,CUST-0223,billing,CRITICAL,resolved,01-02-2025+03:00,02-Jan-2025,,,Bug confirmed in v2.3.1. Hotfix deployed.,Linda,chat,True
TKT-00891,CUST-0086,Integration,HIGH,CLOSED,14/01/2023,16-Jan-2023,15-Jan-2023,4/5,,Richard,in-app,False
TKT-01110,CUST-0495,,high,Resolved,10-Feb-2023-05:00,02/11/2023 00:00,02-10-2023,,Bug confirmed in v2.3.1. Hotfix deployed.,James,phone,1
TKT-01793,CUST-0327,Billing,Low,closed,2025-10-28-08:00,30/10/2025,2025/10/28,,,David,,0
TKT-01474,CUST-0446,,medium,IN_PROGRESS,03-Dec-2023Z,03/12/2023,2023-12-03T08:00:00,,Customer was on an outdated plan. Migrated to current tier.,Karen,phone,0
TKT-01947,CUST-0116,,Medium,escalated,2024-06-13T00:00:00,2024-06-13,2024/06/13,,<p>Resolved via <b>live chat</b> session.</p>,Jennifer,chat,1
TKT-01748,CUST-0038,Feature Request,critical,IN_PROGRESS,11/11/2023+09:00,11-Nov-2023,11/18/2023 00:00,5 stars,<p>Resolved via <b>live chat</b> session.</p>,Thomas,Email,Y
TKT-00356,CUST-0124,feature_request,Medium,closed,2023-12-03T00:00:00+05:30,2023-12-03,12/05/2023 00:00,N/A,,Patricia,in-app,N
TKT-01307,CUST-0401,billing,medium,in_progress,"Dec 28, 2024+00:00",28/12/2024,2024/12/28,2,<div>Fixed the <a href='#'>configuration</a> issue</div>,Thomas,Email,no
TKT-01816,CUST-0225,ACCOUNT,Low,IN_PROGRESS,12/11/2023 00:00Z,2023/12/12,2023-12-11T02:00:00,4,Network issue on customer side. Confirmed with traceroute.,Linda,chat,False
TKT-00724,CUST-0215,account,crit,escalated,2024-10-30T00:00:00+00:00,2024-10-30,2024-11-02T00:00:00, 2 ,,Linda,CHAT,yes
TKT-01055,CUST-0284,feature_request,med,escalated,"May 27, 2024+03:00",05/27/2024 12:00,2024/05/27,2/5,,Patricia,Phone,no
TKT-00273,CUST-0126,,crit,CLOSED,"Apr 08, 2024-08:00",04/08/2024 00:30,04/18/2024 00:00,5.0,Refund processed as per company policy.,Patricia,Phone,true
TKT-00887,CUST-0249,,med,IN_PROGRESS,2024/04/08+05:30,N/A,"Apr 08, 2024",1 stars,Bug confirmed in v2.3.1. Hotfix deployed.,William,phone,0
TKT-01092,CUST-0277,integration,hi,resolved,19-Nov-2024-05:00,19-Nov-2024,11-21-2024,3/5,Customer was on an outdated plan. Migrated to current tier.,Richard,in-app,1
TKT-01340,CUST-0409,technical,high,in_progress,07-29-2025,07/31/2025 00:00,2025-07-29T04:00:00,3,Bug confirmed in v2.3.1. Hotfix deployed.,Susan,,N
TKT-01540,CUST-0346,account,med,in_progress,2025-06-28T00:00:00,06-29-2025,05/07/2025,five,Customer was on an outdated plan. Migrated to current tier.,Thomas,Phone,0
TKT-01499,CUST-0233,Billing,HIGH,CLOSED,06-26-2023+09:00,29-Jun-2023,01-Jul-2023,N/A,Bug confirmed in v2.3.1. Hotfix deployed.,William,phone,Y
TKT-01279,CUST-0045,technical,medium,Resolved,2024/09/24+03:00,09-27-2024,null,4,<div>Fixed the <a href='#'>configuration</a> issue</div>,Barbara,email,True
TKT-00620,CUST-0342,technical,Low,closed,2025-10-05T00:00:00Z,10/07/2025 00:00,15/10/2025,2.0,Issue resolved by resetting the API key and clearing the cache.,Richard,CHAT,True
TKT-01756,CUST-0283,TECHNICAL,CRITICAL,closed,2025/02/22,2025-02-22T00:30:00,"Feb 22, 2025", 5 ,<div>Fixed the <a href='#'>configuration</a> issue</div>,Susan,chat,no
TKT-01187,CUST-0257,integration,hi,resolved,2024-02-10T00:00:00-08:00,2024-02-10,02-20-2024,,Network issue on customer side. Confirmed with traceroute.,Michael,CHAT,False
TKT-00406,CUST-0245,feature_request,medium,CLOSED,18/06/2025-08:00,06/18/2025 04:00,2025/06/20,5/5,<p>Resolved via <b>live chat</b> session.</p>,Christopher,chat,False
TKT-00325,CUST-0184,Feature Request,high,resolved,"May 12, 2025",05/13/2025 00:00,"May 22, 2025",5.0,Network issue on customer side. Confirmed with traceroute.,Jessica,Email,True
TKT-01939,CUST-0347,billing,CRITICAL,closed,02/08/2023 00:00,02/08/2023 01:00,08/02/2023,,Network issue on customer side. Confirmed with traceroute.,Jessica,chat,True
TKT-00972,CUST-0334,TECHNICAL,low,Open,"Oct 19, 2024",2024-10-22T00:00:00,10-29-2024,3.0,Refund processed as per company policy.,Michael,in-app,false
TKT-01076,CUST-0417,technical,medium,IN_PROGRESS,2025/10/06,06/10/2025,"Oct 09, 2025",three,Issue resolved by resetting the API key and clearing the cache.,Thomas,,yes
TKT-01551,CUST-0125,account,low,Open,03-22-2023-08:00,,2023/04/01, 2 ,<div>Fixed the <a href='#'>configuration</a> issue</div>,,phone,true
TKT-01083,CUST-0461,integration,crit,Open,17-May-2024+09:00,"May 18, 2024",N/A,one,<p>Resolved via <b>live chat</b> session.</p>,Sarah,in-app,Y
TKT-00559,CUST-0126,,hi,open,11-30-2024-05:00,02/12/2024,, 3 ,,Jennifer,,true
TKT-01875,CUST-0238,security,hi,closed,11-07-2025,11/09/2025 00:00,11-14-2025,1/5,,Christopher,Email,False
TKT-00799,CUST-0142,technical,hi,CLOSED,01/13/2023 00:00-08:00,"Jan 15, 2023",13/01/2023, 4 ,<p>Resolved via <b>live chat</b> session.</p>,Robert,chat,False
TKT-01880,CUST-0013,Feature Request,CRITICAL,resolved,2025-08-04+05:30,08-07-2025,06/08/2025,4 stars,Refund processed as per company policy.,William,chat,no
TKT-00857,CUST-0479,,high,CLOSED,24/03/2024-05:00,27/03/2024,"Mar 25, 2024",4,Escalated to engineering team for further investigation.,Karen,chat,0
TKT-01399,CUST-0203,security,medium,open,2024-12-21T00:00:00+00:00,,12-24-2024,N/A,,James,phone,true
TKT-00840,CUST-0449,account,medium,closed,26-Dec-2024+03:00,12/26/2024 04:00,02/01/2025,5 stars,Escalated to engineering team for further investigation.,William,Phone,false
TKT-01511,CUST-0453,Billing,HIGH,IN_PROGRESS,09/04/2024+09:00,04/09/2024 04:00,04-12-2024,5.0,<div>Fixed the <a href='#'>configuration</a> issue</div>,Jennifer,Email,no
TKT-01979,CUST-0242,Integration,critical,escalated,2023/12/30+00:00,30/12/2023,01-02-2024,,,Barbara,phone,yes
TKT-00754,CUST-0164,ACCOUNT,Medium,resolved,2025-01-12T00:00:00Z,"Jan 12, 2025",2025-01-12,three,Provided documentation link for the integration setup.,David,Email,yes
TKT-00873,CUST-0274,Integration,med,CLOSED,2023-09-11,09-11-2023,2023-09-11,four,Refund processed as per company policy.,John,email,Y
TKT-00836,CUST-0235,TECHNICAL,medium,escalated,10-31-2023,2023-10-31T08:00:00,2023-10-31T08:00:00,,<p>Resolved via <b>live chat</b> session.</p>,Jennifer,email,False
TKT-01100,CUST-0342,ACCOUNT,hi,IN_PROGRESS,"May 02, 2024+05:30",02/05/2024,null,3.0,Provided documentation link for the integration setup.,Patricia,email,true
TKT-01212,CUST-0058,feature_request,high,in_progress,2025-05-30T00:00:00+03:00,2025/06/01,05/30/2025 04:00,5 stars,User error - provided step-by-step guide.,Sarah,chat,Y
TKT-00055,CUST-0337,account,crit,in_progress,2024-05-02Z,N/A,2024-05-04,4.0,Provided documentation link for the integration setup.,Thomas,Phone,False
TKT-00134,CUST-0151,technical,hi,in_progress,"Jan 04, 2025-08:00",04-Jan-2025,01/04/2025 08:00,four,User error - provided step-by-step guide.,Elizabeth,phone,True
TKT-01321,CUST-0252,ACCOUNT,low,CLOSED,03-05-2025+03:00,2025-03-05,null,five,Escalated to engineering team for further investigation.,Jessica,phone,1
TKT-00091,CUST-0485,ACCOUNT,Medium,resolved,01-13-2025-05:00,2025-01-13T08:00:00,null,5.0,Bug confirmed in v2.3.1. Hotfix deployed.,,Phone,no
TKT-00008,CUST-0298,technical,Medium,escalated,02/05/2023,2023/05/02,"May 09, 2023",3.0,,James,,True
TKT-00509,CUST-0172,technical,low,in_progress,17-May-2025-05:00,05/17/2025 00:30,"May 17, 2025",5.0,Network issue on customer side. Confirmed with traceroute.,John,in-app,true
TKT-00255,CUST-0381,feature_request,high,Resolved,13-Feb-2023+03:00,N/A,N/A,,Issue resolved by resetting the API key and clearing the cache.,Patricia,CHAT,true
TKT-00188,CUST-0080,billing,high,open,2025-11-10+09:00,2025/11/10,2025-11-15T00:00:00, 3 ,<p>Resolved via <b>live chat</b> session.</p>,Michael,in-app,yes
TKT-01283,CUST-8879,,hi,escalated,01/20/2025 00:00+05:30,2025-01-20T12:00:00,"Jan 20, 2025",1.0,User error - provided step-by-step guide.,,in-app,0
TKT-01614,CUST-0192,technical,med,resolved,17/05/2025Z,17/05/2025,2025-05-17T12:00:00, 3 ,,Jennifer,CHAT,0
TKT-01063,CUST-0113,account,high,Resolved,01/14/2023 00:00,01-14-2023,14-Jan-2023,five,User error - provided step-by-step guide.,Linda,email,yes
TKT-00791,CUST-0049,Integration,CRITICAL,resolved,11-03-2024,11/03/2024 00:30,05/11/2024,,Provided documentation link for the integration setup.,Thomas,,False
TKT-01003,CUST-0213,feature_request,CRITICAL,CLOSED,08-Oct-2024+09:00,2024-10-08,10/08/2024 01:00, 4 ,,Robert,Email,1
TKT-01958,CUST-0415,account,high,IN_PROGRESS,18/07/2025+05:30,2025/07/20,07/18/2025 04:00,1,Bug confirmed in v2.3.1. Hotfix deployed.,Michael,CHAT,0
TKT-00050,CUST-0423,feature_request,high,in_progress,"Sep 05, 2024+00:00",07-Sep-2024,2024-09-10,4,,John,,True
TKT-00030,CUST-0322,technical,HIGH,Resolved,"Apr 18, 2025",20/04/2025,"Apr 18, 2025",5 stars,<div>Fixed the <a href='#'>configuration</a> issue</div>,Richard,,yes
TKT-00577,CUST-0344,account,hi,CLOSED,03-14-2025Z,,24/03/2025,N/A,<div>Fixed the <a href='#'>configuration</a> issue</div>,Thomas,phone,True
TKT-01299,CUST-0251,ACCOUNT,hi,closed,2025-10-22T00:00:00-08:00,22/10/2025,"Nov 01, 2025", 1 ,,John,in-app,True
TKT-01581,CUST-0157,Billing,CRITICAL,escalated,01/05/2023-08:00,2023/05/02,01-May-2023, 4 ,Customer was on an outdated plan. Migrated to current tier.,Karen,Phone,0
TKT-00609,CUST-0363,Feature Request,Medium,resolved,2024/05/04,,04-May-2024, 4 ,User error - provided step-by-step guide.,Sarah,Email,0
TKT-00639,CUST-0397,Billing,high,closed,12-21-2025+00:00,2025-12-21T08:00:00,2025-12-24,4/5,,Richard,in-app,no
TKT-00721,CUST-0301,billing,high,resolved,2024/06/20,06/23/2024 00:00,06-20-2024,5 stars,Provided documentation link for the integration setup.,Elizabeth,Email,N
TKT-00167,CUST-0019,TECHNICAL,Low,Open,2024-01-14Z,2024/01/14,01-14-2024,,,Karen,Email,False
TKT-00403,CUST-0369,ACCOUNT,medium,Open,2024/07/01,01/07/2024,07/08/2024 00:00,5/5,Issue resolved by resetting the API key and clearing the cache.,William,CHAT,True
TKT-00062,CUST-0177,Billing,CRITICAL,escalated,2023-08-28+00:00,"Aug 28, 2023",09/07/2023 00:00,4 stars,Customer was on an outdated plan. Migrated to current tier.,Mary,CHAT,true
TKT-01237,CUST-8802,account,Low,CLOSED,25-Feb-2024+00:00,"Feb 25, 2024","Feb 27, 2024",five,,,CHAT,False
TKT-00741,CUST-0248,integration,Medium,closed,2023-12-12+09:00,,2023/12/15,N/A,Issue resolved by resetting the API key and clearing the cache.,Jessica,in-app,false
TKT-01672,CUST-0356,account,HIGH,escalated,23/07/2024+00:00,23-Jul-2024,2024/08/02,N/A,Escalated to engineering team for further investigation.,David,CHAT,yes
TKT-00047,CUST-8680,security,high,escalated,17/03/2025+03:00,2025-03-20,03/17/2025 08:00,3 stars,,Michael,Email,False
TKT-01653,CUST-0001,security,Low,open,11/29/2025 00:00,11-29-2025,2025-12-02T00:00:00,,,Joseph,Email,0
TKT-01695,CUST-0386,TECHNICAL,HIGH,resolved,2024-09-10+03:00,2024-09-10,"Sep 13, 2024",,Issue resolved by resetting the API key and clearing the cache.,,email,False
TKT-01167,CUST-0495,Billing,high,CLOSED,10/17/2023 00:00+09:00,2023/10/18,10/18/2023 00:00,five,Refund processed as per company policy.,Barbara,Email,True
TKT-01031,CUST-0141,account,CRITICAL,in_progress,29-Apr-2024+09:00,01/05/2024,,,Network issue on customer side. Confirmed with traceroute.,Sarah,Phone,0
TKT-00218,CUST-0283,feature_request,crit,in_progress,30-Jul-2023,2023/07/30,"Jul 30, 2023", 3 ,<div>Fixed the <a href='#'>configuration</a> issue</div>,,phone,False
TKT-00160,CUST-0262,Billing,hi,in_progress,06/06/2023 00:00,09/06/2023,"Jun 06, 2023", 4 ,<p>Resolved via <b>live chat</b> session.</p>,John,CHAT,Y
TKT-01039,CUST-0291,Integration,medium,escalated,06/21/2025 00:00+05:30,N/A,21-Jun-2025,1,,John,phone,1
TKT-00251,CUST-0096,security,Medium,escalated,"Nov 10, 2025",11-11-2025,2025/11/13,3 stars,,Sarah,chat,0
TKT-01389,CUST-8224,,high,IN_PROGRESS,31/01/2023+05:30,2023/01/31,2023/02/10,,Bug confirmed in v2.3.1. Hotfix deployed.,Robert,CHAT,False
TKT-01767,CUST-0091,Integration,medium,in_progress,2025-10-30T00:00:00Z,10-30-2025,2025-11-09,3,Customer was on an outdated plan. Migrated to current tier.,,in-app,Y
TKT-01250,CUST-0313,ACCOUNT,Medium,in_progress,06-25-2025,2025-06-25T12:00:00,06-26-2025,1.0,Refund processed as per company policy.,Mary,email,false
TKT-00549,CUST-0378,ACCOUNT,medium,escalated,2023-05-01T00:00:00,2023/05/04,null,3/5,<div>Fixed the <a href='#'>configuration</a> issue</div>,Robert,phone,0
TKT-00692,CUST-0462,account,critical,IN_PROGRESS,01/09/2023+00:00,"Sep 01, 2023",01-Sep-2023, 4 ,Customer was on an outdated plan. Migrated to current tier.,James,Email,false
TKT-00878,CUST-0371,feature_request,high,closed,05-01-2025+00:00,2025-05-03,"May 01, 2025",4/5,Issue resolved by resetting the API key and clearing the cache.,Barbara,,True
TKT-00240,CUST-0312,billing,critical,resolved,2025/08/20Z,N/A,27-Aug-2025,1,Customer was on an outdated plan. Migrated to current tier.,Christopher,in-app,no
TKT-01902,CUST-0051,security,critical,CLOSED,03/20/2023 00:00,20-Mar-2023,03-22-2023,five,Network issue on customer side. Confirmed with traceroute.,Karen,CHAT,False
TKT-00414,CUST-0223,integration,Low,CLOSED,11/08/2023 00:00+03:00,"Nov 11, 2023",13/11/2023,5,<p>Resolved via <b>live chat</b> session.</p>,,phone,1
TKT-01068,CUST-0452,TECHNICAL,HIGH,in_progress,2023-12-18T00:00:00-08:00,12-20-2023,,4 stars,,Susan,Phone,False
TKT-00836,CUST-0235,TECHNICAL,medium,escalated,10-31-2023,2023-10-31T08:00:00,2023-10-31T08:00:00,,<p>Resolved via <b>live chat</b> session.</p>,Jennifer,email,False
TKT-01318,CUST-0329,,CRITICAL,Resolved,2025/04/17+00:00,N/A,2025-04-17,4.0,Provided documentation link for the integration setup.,William,,yes
TKT-00254,CUST-0469,Feature Request,hi,closed,2024/09/17-08:00,17-Sep-2024,2024/09/17,4/5,Issue resolved by resetting the API key and clearing the cache.,Jessica,email,1
TKT-01777,CUST-8615,technical,med,IN_PROGRESS,2025-02-15T00:00:00+09:00,02/15/2025 04:00,2025-02-15T12:00:00,,Refund processed as per company policy.,Mary,Phone,0
TKT-01854,CUST-0311,billing,HIGH,closed,2024-01-23T00:00:00,,2024/01/26,5,,Susan,Phone,Y
TKT-01053,CUST-0478,Feature Request,CRITICAL,closed,10-06-2024Z,2024-10-08T00:00:00,10-13-2024,3.0,Issue resolved by resetting the API key and clearing the cache.,Sarah,email,N
TKT-01954,CUST-0104,Feature Request,low,Resolved,"Oct 25, 2024Z","Oct 25, 2024",2024-10-25,five,<div>Fixed the <a href='#'>configuration</a> issue</div>,Karen,in-app,true
TKT-01686,CUST-0371,,low,closed,08-Jul-2024,08/07/2024,,5,,William,CHAT,false
TKT-00756,CUST-0469,billing,HIGH,open,02/27/2023 00:00+00:00,2023/02/27,2023/03/04, 4 ,Bug confirmed in v2.3.1. Hotfix deployed.,Sarah,phone,True
TKT-01545,CUST-0328,feature_request,CRITICAL,escalated,2023-07-11T00:00:00-05:00,11-Jul-2023,11-Jul-2023,five,Refund processed as per company policy.,,Email,True
TKT-01770,CUST-0485,technical,high,Resolved,2024/04/14+03:00,2024/04/15,2024/04/15,3 stars,,Susan,Email,False
TKT-00175,CUST-0485,Feature Request,low,open,2024-11-01T00:00:00,"Nov 01, 2024",02/11/2024, 1 ,<p>Resolved via <b>live chat</b> session.</p>,Richard,Email,false
TKT-00137,CUST-0473,feature_request,Low,Resolved,2023-10-14+00:00,14/10/2023,10/16/2023 00:00,4,Bug confirmed in v2.3.1. Hotfix deployed.,Michael,Email,Y
TKT-00214,CUST-0067,TECHNICAL,Low,closed,10/27/2023 00:00+09:00,10-30-2023,2023-11-03T00:00:00,N/A,Network issue on customer side. Confirmed with traceroute.,Linda,in-app,True
TKT-00664,CUST-0018,Integration,hi,resolved,07-Feb-2023-08:00,09/02/2023,2023/02/07,three,,Jennifer,phone,1
TKT-00993,CUST-0247,,CRITICAL,closed,03-28-2023Z,30-Mar-2023,2023-03-28T02:00:00,2.0,,David,,1
TKT-01433,CUST-0001,,med,closed,2024-08-08T00:00:00,08-08-2024,08/08/2024,three,Issue resolved by resetting the API key and clearing the cache.,Richard,CHAT,True
TKT-01789,CUST-0090,,medium,resolved,06/10/2025+03:00,10/07/2025 00:00,06-Oct-2025, 1 ,,Thomas,Phone,Y
TKT-00618,CUST-0076,technical,CRITICAL,closed,2025-11-22+03:00,11-22-2025,,three,<p>Resolved via <b>live chat</b> session.</p>,Robert,phone,false
TKT-00169,CUST-0385,account,low,CLOSED,"Sep 15, 2023",2023-09-18,2023-09-17,4,User error - provided step-by-step guide.,Joseph,email,True
TKT-01239,CUST-0422,ACCOUNT,med,open,"Aug 17, 2023-08:00",17-Aug-2023,08-24-2023,1 stars,Provided documentation link for the integration setup.,Karen,Email,1
TKT-00088,CUST-0280,technical,medium,CLOSED,2023/12/04+05:30,N/A,2023-12-09,2,,Michael,in-app,False
TKT-00867,CUST-0059,Billing,Medium,escalated,2024-09-16T00:00:00,2024-09-16T08:00:00,N/A,,Bug confirmed in v2.3.1. Hotfix deployed.,,Email,yes
TKT-00555,CUST-8153,Integration,critical,in_progress,2023-02-20T00:00:00-05:00,N/A,02/22/2023 00:00,,Provided documentation link for the integration setup.,Susan,email,N
TKT-01460,CUST-0109,account,CRITICAL,open,"Mar 09, 2024+00:00",11-Mar-2024,03-16-2024,5 stars,<div>Fixed the <a href='#'>configuration</a> issue</div>,Joseph,phone,False
TKT-00365,CUST-0105,integration,Medium,Resolved,2025/07/27Z,29-Jul-2025,"Jul 27, 2025",4,<p>Resolved via <b>live chat</b> session.</p>,Mary,CHAT,yes
TKT-00282,CUST-0454,security,low,closed,03-Apr-2025,05-Apr-2025,"Apr 10, 2025",,Refund processed as per company policy.,Karen,,Y
TKT-00785,CUST-0037,feature_request,med,open,03/06/2023 00:00,2023/03/06,11-Mar-2023,five,User error - provided step-by-step guide.,Elizabeth,,false
TKT-01611,CUST-0070,TECHNICAL,HIGH,IN_PROGRESS,31/08/2025+09:00,"Aug 31, 2025",N/A,,Issue resolved by resetting the API key and clearing the cache.,Joseph,chat,False
TKT-01776,CUST-0405,feature_request,Low,open,15-Oct-2023Z,2023/10/15,"Oct 22, 2023",,,Linda,CHAT,True
TKT-01960,CUST-0449,Billing,Low,CLOSED,2025-10-26T00:00:00Z,26-Oct-2025,2025-10-26, 3 ,,Jessica,,True
TKT-01708,CUST-0195,Feature Request,medium,closed,09-Dec-2023-05:00,2023-12-09T04:00:00,12/09/2023 01:00,three,Provided documentation link for the integration setup.,Barbara,CHAT,True
TKT-01288,CUST-8415,Feature Request,Medium,Resolved,2023/12/25+05:30,,12/30/2023 00:00, 3 ,,Thomas,Phone,no
TKT-00262,CUST-8100,billing,hi,open,25/08/2023+09:00,2023-08-28T00:00:00,2023-08-27T00:00:00, 1 ,Refund processed as per company policy.,John,CHAT,False
TKT-01807,CUST-0430,Billing,Low,in_progress,2024/03/12Z,03-13-2024,2024/03/12,4 stars,Refund processed as per company policy.,Barbara,Email,yes
TKT-00073,CUST-0458,integration,critical,Resolved,11-Nov-2023Z,11/11/2023,18-Nov-2023,5,<p>Resolved via <b>live chat</b> session.</p>,Christopher,CHAT,0
TKT-01493,CUST-0480,,med,resolved,2023-02-04T00:00:00+05:30,2023-02-04,,,User error - provided step-by-step guide.,Susan,CHAT,0
TKT-00052,CUST-0025,ACCOUNT,med,closed,14-Nov-2023-08:00,2023/11/14,null,5,,Elizabeth,email,True
TKT-01537,CUST-0144,Integration,HIGH,escalated,"Jan 11, 2025-05:00",11/01/2025,null,1.0,<p>Resolved via <b>live chat</b> session.</p>,Richard,,False
